Sample	Host_id	Run	Mate_id	Fastq
FP0026-C	0	R1	1	ena_data/reads_fastq/ERR1099208/ERR1099208_1.fastq.gz
FP0026-C	0	R1	2	ena_data/reads_fastq/ERR1099208/ERR1099208_2.fastq.gz
PA0035-C	0	R1	1	ena_data/reads_fastq/ERR018904/ERR018904_1.fastq.gz
PA0035-C	0	R1	2	ena_data/reads_fastq/ERR018904/ERR018904_2.fastq.gz
PA0035-C	0	R2	1	ena_data/reads_fastq/ERR015361/ERR015361_1.fastq.gz
PA0035-C	0	R2	2	ena_data/reads_fastq/ERR015361/ERR015361_2.fastq.gz
PE0309-C	0	R1	1	ena_data/reads_fastq/ERR676507/ERR676507_1.fastq.gz
PE0309-C	0	R1	2	ena_data/reads_fastq/ERR676507/ERR676507_2.fastq.gz
QG0016-C	0	R1	1	ena_data/reads_fastq/ERR404155/ERR404155_1.fastq.gz
QG0016-C	0	R1	2	ena_data/reads_fastq/ERR404155/ERR404155_2.fastq.gz
QJ0006-C	0	R1	1	ena_data/reads_fastq/ERR1172588/ERR1172588_1.fastq.gz
QJ0006-C	0	R1	2	ena_data/reads_fastq/ERR1172588/ERR1172588_2.fastq.gz
PR0001-CW	0	R1	1	ena_data/reads_fastq/ERR036596/ERR036596_1.fastq.gz
PR0001-CW	0	R1	2	ena_data/reads_fastq/ERR036596/ERR036596_2.fastq.gz
PH0057-C	0	R1	1	ena_data/reads_fastq/ERR015419/ERR015419_1.fastq.gz
PH0057-C	0	R1	2	ena_data/reads_fastq/ERR015419/ERR015419_2.fastq.gz
PD0009-01	0	R1	1	ena_data/reads_fastq/ERR019041/ERR019041_1.fastq.gz
PD0009-01	0	R1	2	ena_data/reads_fastq/ERR019041/ERR019041_2.fastq.gz
PP0010-C	0	R1	1	ena_data/reads_fastq/ERR022856/ERR022856_1.fastq.gz
PP0010-C	0	R1	2	ena_data/reads_fastq/ERR022856/ERR022856_2.fastq.gz
PP0006-C	0	R1	1	ena_data/reads_fastq/ERR018922/ERR018922_1.fastq.gz
PP0006-C	0	R1	2	ena_data/reads_fastq/ERR018922/ERR018922_2.fastq.gz
